epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7428,1.09262,0.36039,0.93332,0.77379,0.64227,0.71139,0.4881,1.30893,0.36975,1.00273,0.00027775,0.00027775,0.00027775
2,19.0666,1.01766,0.35964,0.90533,0.77379,0.64227,0.71139,0.4881,1.30893,0.36975,1.00273,0.00056287,0.00056287,0.00056287
3,25.3639,1.22938,0.45767,0.94586,0.6914,0.56916,0.64143,0.43238,1.23055,0.43039,0.99108,0.000844178,0.000844178,0.000844178
4,31.7198,1.35977,0.45147,0.9579,0.6914,0.56916,0.64143,0.43238,1.23055,0.43039,0.99108,0.001089,0.001089,0.001089
5,38.1504,1.42206,0.47648,0.97558,0.72644,0.55456,0.62283,0.41339,1.24648,0.43477,0.99817,0.00108167,0.00108167,0.00108167
6,56.8282,1.33187,0.44153,0.95186,0.72644,0.55456,0.62283,0.41339,1.24648,0.43477,0.99817,0.00107434,0.00107434,0.00107434
7,63.2706,1.22491,0.42117,0.96563,0.72644,0.55456,0.62283,0.41339,1.24648,0.43477,0.99817,0.001067,0.001067,0.001067
8,69.5191,1.19956,0.3978,0.96091,0.68867,0.49861,0.55346,0.35528,1.32681,0.43113,1.01393,0.00105967,0.00105967,0.00105967
9,76.2776,1.1696,0.38742,0.97526,0.68867,0.49861,0.55346,0.35528,1.32681,0.43113,1.01393,0.00105234,0.00105234,0.00105234
10,82.6503,1.29853,0.46068,0.99321,0.71389,0.53567,0.57307,0.37167,1.33725,0.40458,1.00699,0.00104501,0.00104501,0.00104501
11,88.7801,1.29549,0.49304,1.01012,0.71389,0.53567,0.57307,0.37167,1.33725,0.40458,1.00699,0.00103767,0.00103767,0.00103767
12,95.3215,1.36734,0.44781,0.96633,0.71389,0.53567,0.57307,0.37167,1.33725,0.40458,1.00699,0.00103034,0.00103034,0.00103034
13,101.613,1.30731,0.41211,0.96809,0.72241,0.63779,0.65821,0.41362,1.46197,0.41528,1.03944,0.00102301,0.00102301,0.00102301
14,107.984,1.28407,0.4222,0.97111,0.72241,0.63779,0.65821,0.41362,1.46197,0.41528,1.03944,0.00101568,0.00101568,0.00101568
15,114.315,1.33223,0.46197,0.98175,0.75427,0.61517,0.64643,0.39253,1.53588,0.41091,1.05868,0.00100834,0.00100834,0.00100834
16,120.667,1.39009,0.43313,1.00688,0.75427,0.61517,0.64643,0.39253,1.53588,0.41091,1.05868,0.00100101,0.00100101,0.00100101
17,131.267,1.36866,0.48167,1.00688,0.75427,0.61517,0.64643,0.39253,1.53588,0.41091,1.05868,0.000993678,0.000993678,0.000993678
18,137.625,1.20498,0.44019,0.95541,0.7757,0.58164,0.64121,0.42584,1.34496,0.4253,1.00759,0.000986346,0.000986346,0.000986346
19,149.219,1.28048,0.44374,0.9765,0.7757,0.58164,0.64121,0.42584,1.34496,0.4253,1.00759,0.000979013,0.000979013,0.000979013
20,155.609,1.21659,0.39632,0.97458,0.70426,0.59848,0.62358,0.43182,1.22125,0.38127,0.97664,0.000971681,0.000971681,0.000971681
21,161.839,1.25551,0.36642,0.96068,0.70426,0.59848,0.62358,0.43182,1.22125,0.38127,0.97664,0.000964348,0.000964348,0.000964348
22,168.112,1.2817,0.43834,0.95287,0.69898,0.54243,0.57644,0.37865,1.27015,0.3994,0.98571,0.000957015,0.000957015,0.000957015
23,174.3,1.16438,0.399,0.94669,0.69898,0.54243,0.57644,0.37865,1.27015,0.3994,0.98571,0.000949683,0.000949683,0.000949683
24,183.218,1.29419,0.40276,0.94391,0.69898,0.54243,0.57644,0.37865,1.27015,0.3994,0.98571,0.00094235,0.00094235,0.00094235
25,199.059,1.36179,0.42917,0.94061,0.69076,0.59391,0.61773,0.38362,1.42718,0.40059,1.02417,0.000935018,0.000935018,0.000935018
26,205.577,1.33959,0.41098,0.96761,0.69076,0.59391,0.61773,0.38362,1.42718,0.40059,1.02417,0.000927685,0.000927685,0.000927685
27,211.768,1.15485,0.37123,0.97886,0.6475,0.60767,0.6146,0.39512,1.39388,0.39025,1.00764,0.000920352,0.000920352,0.000920352
28,225.355,1.44359,0.51929,0.939,0.6475,0.60767,0.6146,0.39512,1.39388,0.39025,1.00764,0.00091302,0.00091302,0.00091302
29,231.651,1.17237,0.39415,0.96909,0.6475,0.60767,0.6146,0.39512,1.39388,0.39025,1.00764,0.000905687,0.000905687,0.000905687
30,244.313,1.24969,0.43297,0.9645,0.8041,0.52498,0.60054,0.41054,1.25647,0.40319,0.96927,0.000898355,0.000898355,0.000898355
31,250.767,1.22405,0.39862,0.96356,0.8041,0.52498,0.60054,0.41054,1.25647,0.40319,0.96927,0.000891022,0.000891022,0.000891022
32,257.076,1.24273,0.39218,0.97252,0.74026,0.5883,0.6581,0.44618,1.27379,0.39827,0.97821,0.000883689,0.000883689,0.000883689
33,264.754,1.29814,0.42473,0.94536,0.74026,0.5883,0.6581,0.44618,1.27379,0.39827,0.97821,0.000876357,0.000876357,0.000876357
34,270.705,1.09554,0.3592,0.96356,0.74026,0.5883,0.6581,0.44618,1.27379,0.39827,0.97821,0.000869024,0.000869024,0.000869024
35,277.19,1.2182,0.38738,0.93177,0.83319,0.57952,0.66855,0.43393,1.35535,0.39302,1.00218,0.000861692,0.000861692,0.000861692
36,283.425,1.12849,0.37634,0.95608,0.83319,0.57952,0.66855,0.43393,1.35535,0.39302,1.00218,0.000854359,0.000854359,0.000854359
37,289.602,1.19898,0.37101,0.9484,0.81185,0.56322,0.64407,0.43146,1.32596,0.3824,0.99643,0.000847026,0.000847026,0.000847026
38,295.874,1.16058,0.40609,0.95514,0.81185,0.56322,0.64407,0.43146,1.32596,0.3824,0.99643,0.000839694,0.000839694,0.000839694
39,302.232,1.18445,0.40019,0.9483,0.81185,0.56322,0.64407,0.43146,1.32596,0.3824,0.99643,0.000832361,0.000832361,0.000832361
40,309.117,1.17408,0.36726,0.92131,0.80854,0.58354,0.66269,0.46325,1.17836,0.3591,0.9605,0.000825029,0.000825029,0.000825029
41,315.53,1.14911,0.37457,0.95494,0.80854,0.58354,0.66269,0.46325,1.17836,0.3591,0.9605,0.000817696,0.000817696,0.000817696
42,324.854,1.23254,0.38277,0.94208,0.76895,0.60207,0.67027,0.46613,1.17338,0.3636,0.95976,0.000810363,0.000810363,0.000810363
43,331.57,1.07075,0.32961,0.91598,0.76895,0.60207,0.67027,0.46613,1.17338,0.3636,0.95976,0.000803031,0.000803031,0.000803031
44,337.785,1.11034,0.34734,0.96444,0.76895,0.60207,0.67027,0.46613,1.17338,0.3636,0.95976,0.000795698,0.000795698,0.000795698
45,344.265,1.15992,0.35745,0.9356,0.69454,0.64488,0.66067,0.45778,1.24251,0.36709,0.97279,0.000788366,0.000788366,0.000788366
46,350.779,1.14891,0.36321,0.90925,0.69454,0.64488,0.66067,0.45778,1.24251,0.36709,0.97279,0.000781033,0.000781033,0.000781033
47,357.064,1.12172,0.36903,0.97814,0.77117,0.65116,0.68599,0.47276,1.24938,0.36492,0.97583,0.0007737,0.0007737,0.0007737
48,363.547,1.25561,0.41366,0.93532,0.77117,0.65116,0.68599,0.47276,1.24938,0.36492,0.97583,0.000766368,0.000766368,0.000766368
49,369.586,1.09162,0.37241,0.95791,0.77117,0.65116,0.68599,0.47276,1.24938,0.36492,0.97583,0.000759035,0.000759035,0.000759035
50,375.919,1.08286,0.34185,0.93213,0.80151,0.66235,0.72255,0.51247,1.19447,0.35627,0.96276,0.000751703,0.000751703,0.000751703
51,382.131,1.15232,0.36744,0.92321,0.80151,0.66235,0.72255,0.51247,1.19447,0.35627,0.96276,0.00074437,0.00074437,0.00074437
52,388.311,1.13196,0.35961,0.9113,0.82684,0.62133,0.70288,0.48787,1.19713,0.35369,0.96074,0.000737037,0.000737037,0.000737037
53,394.328,1.09029,0.3513,0.91325,0.82684,0.62133,0.70288,0.48787,1.19713,0.35369,0.96074,0.000729705,0.000729705,0.000729705
54,400.574,1.09606,0.3504,0.90864,0.84664,0.59366,0.6885,0.45852,1.24726,0.34682,0.97226,0.000722372,0.000722372,0.000722372
55,406.744,1.12218,0.35328,0.90912,0.84664,0.59366,0.6885,0.45852,1.24726,0.34682,0.97226,0.00071504,0.00071504,0.00071504
56,419.834,1.059,0.32689,0.91379,0.84664,0.59366,0.6885,0.45852,1.24726,0.34682,0.97226,0.000707707,0.000707707,0.000707707
57,426.371,1.09389,0.34472,0.90788,0.73923,0.57794,0.6619,0.43745,1.25651,0.35389,0.97549,0.000700374,0.000700374,0.000700374
58,432.778,1.19439,0.41062,0.92222,0.73923,0.57794,0.6619,0.43745,1.25651,0.35389,0.97549,0.000693042,0.000693042,0.000693042
59,439.233,1.07062,0.42238,0.89465,0.78992,0.6231,0.68117,0.45938,1.21788,0.37442,0.97317,0.000685709,0.000685709,0.000685709
60,445.36,1.00837,0.34506,0.92261,0.78992,0.6231,0.68117,0.45938,1.21788,0.37442,0.97317,0.000678377,0.000678377,0.000678377
61,451.722,1.00803,0.3563,0.93685,0.78992,0.6231,0.68117,0.45938,1.21788,0.37442,0.97317,0.000671044,0.000671044,0.000671044
62,462.107,1.15117,0.37837,0.93045,0.77722,0.61184,0.67391,0.44592,1.29134,0.38406,0.99313,0.000663711,0.000663711,0.000663711
63,468.296,1.01964,0.37157,0.91408,0.77722,0.61184,0.67391,0.44592,1.29134,0.38406,0.99313,0.000656379,0.000656379,0.000656379
64,474.479,1.13895,0.36788,0.92435,0.78191,0.61861,0.66614,0.43205,1.31949,0.37687,1.0063,0.000649046,0.000649046,0.000649046
65,480.542,1.10853,0.35013,0.91369,0.78191,0.61861,0.66614,0.43205,1.31949,0.37687,1.0063,0.000641714,0.000641714,0.000641714
66,486.807,1.20327,0.35838,0.94709,0.78191,0.61861,0.66614,0.43205,1.31949,0.37687,1.0063,0.000634381,0.000634381,0.000634381
67,493.373,1.19998,0.35393,0.91607,0.80936,0.60538,0.67221,0.44634,1.27098,0.35508,0.98905,0.000627048,0.000627048,0.000627048
68,499.593,1.08686,0.3401,0.9212,0.80936,0.60538,0.67221,0.44634,1.27098,0.35508,0.98905,0.000619716,0.000619716,0.000619716
69,505.574,1.10222,0.35671,0.94702,0.7586,0.60634,0.66941,0.43814,1.31082,0.36233,0.99984,0.000612383,0.000612383,0.000612383
70,511.851,1.08896,0.32766,0.93661,0.7586,0.60634,0.66941,0.43814,1.31082,0.36233,0.99984,0.000605051,0.000605051,0.000605051
71,518.447,1.14898,0.35557,0.89994,0.7586,0.60634,0.66941,0.43814,1.31082,0.36233,0.99984,0.000597718,0.000597718,0.000597718
72,524.606,1.04949,0.31477,0.91097,0.79531,0.60237,0.67873,0.45828,1.24409,0.35817,0.98373,0.000590385,0.000590385,0.000590385
73,530.897,1.12187,0.33223,0.91956,0.79531,0.60237,0.67873,0.45828,1.24409,0.35817,0.98373,0.000583053,0.000583053,0.000583053
74,537.134,1.17094,0.36344,0.9309,0.72293,0.61494,0.6701,0.45988,1.22605,0.36222,0.97716,0.00057572,0.00057572,0.00057572
75,543.217,1.11275,0.35931,0.93109,0.72293,0.61494,0.6701,0.45988,1.22605,0.36222,0.97716,0.000568388,0.000568388,0.000568388
76,559.858,1.22483,0.37101,0.89371,0.72293,0.61494,0.6701,0.45988,1.22605,0.36222,0.97716,0.000561055,0.000561055,0.000561055
77,570.536,1.24624,0.38414,0.89379,0.77925,0.60877,0.673,0.46019,1.23592,0.35847,0.97451,0.000553722,0.000553722,0.000553722
78,579.703,1.13172,0.3521,0.92723,0.77925,0.60877,0.673,0.46019,1.23592,0.35847,0.97451,0.00054639,0.00054639,0.00054639
79,585.907,1.07754,0.37156,0.93366,0.77302,0.61894,0.66923,0.43717,1.33905,0.3602,1.00392,0.000539057,0.000539057,0.000539057
80,592.301,1.14158,0.35125,0.89837,0.77302,0.61894,0.66923,0.43717,1.33905,0.3602,1.00392,0.000531725,0.000531725,0.000531725
81,599.037,1.16436,0.35162,0.9004,0.77302,0.61894,0.66923,0.43717,1.33905,0.3602,1.00392,0.000524392,0.000524392,0.000524392
82,605.263,1.04449,0.31499,0.8983,0.77579,0.62234,0.67428,0.44017,1.33676,0.35754,1.00421,0.000517059,0.000517059,0.000517059
83,611.555,1.06707,0.32822,0.90205,0.77579,0.62234,0.67428,0.44017,1.33676,0.35754,1.00421,0.000509727,0.000509727,0.000509727
84,618.003,1.06051,0.31495,0.90753,0.78573,0.58139,0.65529,0.44601,1.25576,0.34685,0.98778,0.000502394,0.000502394,0.000502394
85,624.469,1.18138,0.3812,0.91778,0.78573,0.58139,0.65529,0.44601,1.25576,0.34685,0.98778,0.000495062,0.000495062,0.000495062
86,630.818,1.17677,0.36224,0.94484,0.71845,0.65416,0.67463,0.46817,1.19186,0.33852,0.97289,0.000487729,0.000487729,0.000487729
87,658.839,1.14768,0.3534,0.9113,0.71845,0.65416,0.67463,0.46817,1.19186,0.33852,0.97289,0.000480396,0.000480396,0.000480396
88,665.565,1.15699,0.34827,0.92301,0.71845,0.65416,0.67463,0.46817,1.19186,0.33852,0.97289,0.000473064,0.000473064,0.000473064
89,671.736,1.00993,0.32258,0.90974,0.74759,0.62317,0.67465,0.45894,1.24365,0.33998,0.98521,0.000465731,0.000465731,0.000465731
90,678.878,1.12552,0.51139,0.90446,0.74759,0.62317,0.67465,0.45894,1.24365,0.33998,0.98521,0.000458399,0.000458399,0.000458399
91,685.319,1.12737,0.3403,0.90312,0.78229,0.677,0.71048,0.47361,1.25181,0.33818,0.98187,0.000451066,0.000451066,0.000451066
92,691.466,1.04822,0.30848,0.92173,0.78229,0.677,0.71048,0.47361,1.25181,0.33818,0.98187,0.000443733,0.000443733,0.000443733
93,699.444,1.0804,0.33012,0.91171,0.78229,0.677,0.71048,0.47361,1.25181,0.33818,0.98187,0.000436401,0.000436401,0.000436401
94,706.034,1.13812,0.34114,0.90489,0.76617,0.66172,0.70024,0.46995,1.22165,0.33626,0.96577,0.000429068,0.000429068,0.000429068
95,712.383,1.06713,0.32566,0.90409,0.76617,0.66172,0.70024,0.46995,1.22165,0.33626,0.96577,0.000421736,0.000421736,0.000421736
96,718.737,1.18755,0.35034,0.90601,0.77602,0.66886,0.69158,0.4752,1.19438,0.33582,0.95335,0.000414403,0.000414403,0.000414403
97,725.241,1.02696,0.3099,0.90839,0.77602,0.66886,0.69158,0.4752,1.19438,0.33582,0.95335,0.00040707,0.00040707,0.00040707
98,731.069,1.04025,0.32533,0.92661,0.77602,0.66886,0.69158,0.4752,1.19438,0.33582,0.95335,0.000399738,0.000399738,0.000399738
99,737.36,0.99888,0.30903,0.89189,0.78763,0.6702,0.70492,0.47498,1.21829,0.33428,0.95868,0.000392405,0.000392405,0.000392405
100,743.446,1.00782,0.29971,0.92052,0.78763,0.6702,0.70492,0.47498,1.21829,0.33428,0.95868,0.000385073,0.000385073,0.000385073
101,753.414,1.03306,0.32014,0.9107,0.78684,0.67728,0.70327,0.46097,1.30654,0.34096,0.98469,0.00037774,0.00037774,0.00037774
